file_nm,element_id,amount,unit_ref,decimals,contextref
aaaa.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,29.97,,2,Prior3YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,66.26,,2,Prior2YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,109.45,,2,Prior1YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:basicearningslosspersharesummaryofbusinessresults,105.62,,2,CurrentYearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.243,,3,Prior4YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.277,,3,Prior3YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.281,,3,Prior2YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.336,,3,Prior1YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:equitytoassetratiosummaryofbusinessresults,0.361,,3,CurrentYearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.022,,3,Prior4YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.066,,3,Prior3YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.129,,3,Prior2YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.193,,3,Prior1YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:rateofreturnonequitysummaryofbusinessresults,0.160,,3,CurrentYearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,62.6,,1,Prior4YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,27.1,,1,Prior3YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,14.4,,1,Prior2YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,9.1,,1,Prior1YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,9.0,,1,CurrentYearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:payoutratiosummaryofbusinessresults,0.820,,3,Prior4YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:payoutratiosummaryofbusinessresults,0.267,,3,Prior3YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:payoutratiosummaryofbusinessresults,0.241,,3,Prior2YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:payoutratiosummaryofbusinessresults,0.238,,3,Prior1YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:payoutratiosummaryofbusinessresults,0.246,,3,CurrentYearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:numberofemployees,10714,,0,Prior4YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:numberofemployees,10547,,0,Prior3YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:numberofemployees,10466,,0,Prior2YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:numberofemployees,10431,,0,Prior1YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:numberofemployees,10348,,0,CurrentYearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:averagenumberoftemporaryworkers,2461,,0,Prior4YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:averagenumberoftemporaryworkers,2187,,0,Prior3YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:averagenumberoftemporaryworkers,1925,,0,Prior2YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:averagenumberoftemporaryworkers,1619,,0,Prior1YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:averagenumberoftemporaryworkers,1343,,0,CurrentYearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:numberofsharesheld,60730000,,-3,CurrentYearInstant_No1MajorShareholdersMember
aaaa.xbrl,jpcrp_cor:shareholdingratio,0.0773,,4,CurrentYearInstant_No1MajorShareholdersMember
aaaa.xbrl,jpcrp_cor:numberofsharesheld,50775000,,-3,CurrentYearInstant_No2MajorShareholdersMember
aaaa.xbrl,jpcrp_cor:shareholdingratio,0.0646,,4,CurrentYearInstant_No2MajorShareholdersMember
aaaa.xbrl,jpcrp_cor:numberofsharesheld,38595000,,-3,CurrentYearInstant_No3MajorShareholdersMember
aaaa.xbrl,jpcrp_cor:shareholdingratio,0.0491,,4,CurrentYearInstant_No3MajorShareholdersMember
aaaa.xbrl,jpcrp_cor:numberofsharesheld,34393000,,-3,CurrentYearInstant_No4MajorShareholdersMember
aaaa.xbrl,jpcrp_cor:shareholdingratio,0.0438,,4,CurrentYearInstant_No4MajorShareholdersMember
